fips,hh_size,hh_income,cost_housing,n_vehicles,hh_share_nonwhite,i_renter,i_moved,i_foodstamp,i_smartphone,i_internet,time_commuting
31000,6,8.4,1200,2,0,0,0,0,1,1,1.3333333333333333
45000,1,2.51,320,1,1,0,0,0,0,0,20
12105,2,12.4,170,3,0,0,0,0,1,1,5
34019,4,16.98,1800,3,0,0,0,0,1,1,22.5
48000,4,11.52,700,2,0,0,0,0,1,1,10
17097,2,13.072,1800,2,0,0,0,0,1,1,30
13117,3,10.05,1700,3,0,0,0,0,1,1,44
17037,4,15.83,1800,2,0,0,0,0,1,1,11.5
42000,2,4.53,640,3,0,0,0,0,0,1,45
37000,1,1.9,400,1,1,1,0,0,1,1,20
42043,4,12.71,1000,5,0,0,0,0,1,1,40
55133,3,13.805,1000,3,0,0,0,0,1,1,30
06097,1,2.4,720,1,0,0,0,0,1,1,26
33000,2,7.76,1500,2,0,0,0,0,1,1,60
17000,3,2.3,730,1,0,1,0,1,1,1,20
47037,4,14.3,660,3,0,0,0,0,1,1,15
51013,3,5.9,1300,1,0,1,0,0,0,1,43.333333333333336
24031,3,21.603,2000,2,0,0,0,0,1,1,26.666666666666668
55025,2,3.6,730,1,0.5,1,0,0,1,1,25
13139,4,8,1200,2,0,0,0,0,1,1,25
06095,2,19.4,2100,4,0,0,0,0,1,1,60
34023,6,18.3,1600,3,0,0,0,0,1,1,27.666666666666668
12115,4,10.33,1400,4,0,1,0,0,1,1,20
36047,1,7.508,2200,0,1,1,1,0,1,1,60
06111,2,15.8,1000,2,0,0,0,0,1,1,30
06067,1,5.3,1800,3,1,0,1,0,1,1,60
48439,4,5.5,1000,2,0.75,1,1,0,1,1,30
36081,3,2.29,1800,1,1,1,0,0,1,1,40
36005,1,6.51,890,0,1,1,0,0,0,0,110
53067,2,12.12,1400,2,0,0,0,0,1,1,25
06001,4,3.5,700,1,0,1,0,1,1,1,10
36047,4,1.49,1500,0,0,1,0,1,1,1,12.5
47157,2,1.782,600,1,1,1,0,1,0,1,29
34000,2,5.62,1600,1,0,0,0,0,1,1,40
12000,4,7.3,1200,3,0,0,1,0,1,1,50
51000,2,25.6,2400,3,0,0,0,0,1,1,47
12095,4,18.8,1500,3,0,0,0,0,1,1,10
04013,3,25.42,2200,3,0,0,0,0,1,1,44.666666666666664
12000,4,4.1,2000,2,0,0,0,0,1,1,45
06065,2,42.8,3100,3,0,0,0,0,1,1,30
06013,2,6.5,1100,2,0,0,0,0,1,1,150
06097,3,32.15,1800,2,0,0,0,0,1,1,120.66666666666667
51000,3,3.2,460,1,0,1,0,0,1,1,23.333333333333332
18000,6,2.05,710,2,0,0,0,0,1,1,16.666666666666668
47000,2,2.28,770,2,0,1,0,0,1,1,15
48215,6,8.3,400,4,0,0,0,0,1,1,11.666666666666666
12011,4,1.93,400,2,0,0,0,0,1,1,3.5
23000,1,12.525,1500,1,0,0,0,0,1,1,120
34039,3,1.05,1200,0,0,1,0,0,1,1,13.333333333333334
25000,2,11.72,1100,4,0,0,0,0,1,1,60
09015,2,7.9,1600,2,0,0,0,0,1,1,53
30000,4,8.62,1400,2,0,1,0,0,1,1,5
48479,2,1.4,500,1,0,1,1,1,1,0,15
24005,4,4,700,1,0,1,1,0,1,1,7.5
36047,6,27.05,30,2,1,0,0,0,1,1,83.33333333333333
36005,5,13.22,2800,1,1,0,1,0,1,1,22
39113,4,11.94,980,2,0,1,1,0,1,1,52.5
06073,1,6.1,1400,1,0,0,0,0,1,1,90
48000,3,3.488,1400,2,0,0,0,0,1,1,40
12095,4,8.9,2000,2,0,1,1,0,1,1,40
36081,1,4.8,480,0,1,0,0,0,1,1,60
17031,1,8,1000,1,0,0,0,0,1,1,90
36005,3,3.97,1400,0,1,1,0,0,1,0,100
06071,5,5.03,1300,4,1,1,0,1,1,1,10
47000,3,12.6,1200,4,0,0,1,0,1,1,43.333333333333336
12000,5,5.81,1700,1,1,1,1,0,1,1,24
28000,2,7.5,850,3,0,0,0,0,1,0,5
22071,1,8.72,980,1,0,1,0,0,1,1,80
34003,4,40.2,3400,2,1,0,0,0,1,1,45
